Muscle,Force Level,ISI mean,ISI SD,ISI CV,FR mean,subject_id,extra,MU_ID
VL,5,102.107604623538,12.20042687865179,0.1194859768146918,9.793589847562426,P1,ramp1,1
VL,5,133.37374281609195,18.518348412182643,0.1388455330200746,7.497727655276889,P1,ramp1,2
VL,15,89.78910480595668,6.386518859367329,0.071127993459443,11.13720870879714,P1,ramp2,0
VL,15,119.57256610576924,10.010941571519416,0.0837227291974659,8.363122349615201,P1,ramp2,1
VL,15,119.54204852764424,15.175839441952697,0.1269498024240672,8.365257349331344,P1,ramp2,2
VL,15,116.965595657277,13.075937400218022,0.1117930219287051,8.549522570124964,P1,ramp2,3
VL,15,152.9200424382716,23.498559770468507,0.1536656634133099,6.539365174474525,P1,ramp2,4
VL,15,88.71809664145907,8.67065116626508,0.0977326103072997,11.271657506825813,P1,ramp2,5
VL,15,80.82703429383118,6.832315262936226,0.0845300749016554,12.37209813197762,P1,ramp2,6
VL,15,113.80895212155964,18.53312626361128,0.1628441868423145,8.786655015783797,P1,ramp2,7
VL,30,131.48799668874173,17.181708364278922,0.1306713068642413,7.605256944990945,P1,ramp2,0
VL,30,95.94231204710144,7.885106195350006,0.0821859097108159,10.42292997388957,P1,ramp2,1
VL,30,119.22892496257484,11.163872375996908,0.0936339263270315,8.387226508281389,P1,ramp2,2
VL,30,98.88351212686568,9.139303371468795,0.0924249470401419,10.112909407151909,P1,ramp2,3
VL,30,87.04967248908297,5.741313646957227,0.0659544543108677,11.487693995924126,P1,ramp2,4
VL,30,99.751953125,7.540802501186939,0.0755955373799798,10.024866367748126,P1,ramp2,5
VL,30,83.47803965336135,8.588260152411854,0.102880472374222,11.979198411372057,P1,ramp2,7
VL,30,85.53136735515021,5.696443850778998,0.0666006405243793,11.691617133252638,P1,ramp2,8
VL,30,102.53555689102564,8.660948420341223,0.084467756190626,9.75271437851355,P1,ramp2,9
VL,30,73.21274701286765,6.592110588503044,0.0900404759753712,13.658823644798408,P1,ramp2,10
VL,30,91.1917629851598,12.304059190846688,0.134925115910403,10.965902700693876,P1,ramp2,11
VL,30,119.06811377245508,15.03157316222916,0.1262434810293142,8.398554141128397,P1,ramp2,12
VL,30,126.74080141129032,15.512668629401835,0.1223968008460134,7.890118958257729,P1,ramp2,13
VL,5,109.09637451171876,9.632409147898969,0.0882926604207575,9.166207442508398,P1,ramp2,0
VL,5,100.61154764048992,12.95676451677588,0.1287800935442681,9.93921695323929,P1,ramp2,1
VL,5,128.29544799354244,15.8099869403592,0.123231082533458,7.794508812583387,P1,ramp2,2
VL,15,121.3874728523166,16.65126915570759,0.1371745268637892,8.238082369641456,P2,ramp1,0
VL,15,138.0770210597826,20.424927666542693,0.1479241622521636,7.242334693526117,P2,ramp1,1
VL,15,116.71707381063432,16.261618771706743,0.1393251067799226,8.567726788819547,P2,ramp1,2
VL,15,122.14033733042636,18.676280745864137,0.1529083769871961,8.187303407347722,P2,ramp1,3
VL,15,127.64465828252033,18.992389508936142,0.148791103086348,7.834248714009367,P2,ramp1,4
VL,15,126.73581089426878,16.116247488848945,0.1271641170331419,7.890429650024213,P2,ramp1,5
VL,15,146.63427734375,16.40814528844874,0.1118984291100208,6.819687852764004,P2,ramp1,6
VL,15,123.01781063988096,19.44774530148508,0.1580888588435042,8.128904219628595,P2,ramp1,7
VL,15,127.82286352040816,30.55783707266542,0.2390639376326173,7.823326535321596,P2,ramp1,8
VL,15,116.67918669871794,16.865146678256725,0.1445428885427947,8.570508831040625,P2,ramp1,9
VL,15,154.87380537014562,35.295066785497944,0.2278956515670507,6.456869821271699,P2,ramp1,10
VL,15,144.6843592964824,27.150801303349027,0.1876553999020205,6.911597112932109,P2,ramp1,11
VL,15,166.80908203125,29.72100858567448,0.1781738033910321,5.994877424076109,P2,ramp1,12
VL,30,152.35542629076087,17.01754688139137,0.1116963622215492,6.563599501153062,P2,ramp1,0
VL,30,181.6335484601449,18.11026973817468,0.0997077351167234,5.505590836482643,P2,ramp1,1
VL,30,173.73581977739727,21.776090108438236,0.1253402443798827,5.7558654357015815,P2,ramp1,2
VL,30,148.05196126302084,12.324344758350932,0.083243373834516,6.754385362200344,P2,ramp1,3
VL,30,108.72085813492065,7.553704509645675,0.0694779699059371,9.19786706207762,P2,ramp1,4
VL,30,110.9027284564394,6.538646198067509,0.0589583889330168,9.016910710116408,P2,ramp1,5
VL,30,128.67550470132744,8.77701250653978,0.0682104377745583,7.771486906704813,P2,ramp1,6
VL,30,139.81407015931373,15.359082187409156,0.1098536232434115,7.15235597433457,P2,ramp1,7
VL,30,154.7783430232558,13.471872774508748,0.0870397790244114,6.46085221270102,P2,ramp1,8
VL,30,151.58797554347825,20.01667474912268,0.1320465866593853,6.596829309282395,P2,ramp1,9
VL,30,129.0955660635965,14.11657320251146,0.1093497912667054,7.746199428006451,P2,ramp1,10
VL,30,201.62876674107144,26.0211344575279,0.1290546724959333,4.959609762847902,P2,ramp1,11
VL,30,170.7255595439189,21.97271598698892,0.1287019708454167,5.857353770996145,P2,ramp1,12
VL,30,108.29724298007248,6.089828796553136,0.0562325376803333,9.233845409933542,P2,ramp1,13
VL,30,108.79552504595588,6.127961198595137,0.0563254894537863,9.191554520074185,P2,ramp1,14
VL,30,116.53158833661418,6.4942006198301,0.0557291006887411,8.58136419724574,P2,ramp1,15
VL,30,99.00520833333331,8.2527191189155,0.0833564138477445,10.100478720606024,P2,ramp1,16
VL,30,134.99778891509433,12.647829678213569,0.0936891617252213,7.407528730925667,P2,ramp1,17
VL,30,143.29292847938143,13.595034852029931,0.0948758253202016,6.97871144523291,P2,ramp1,18
VL,30,117.32355101495726,8.738197270770135,0.0744794816997665,8.523437889060425,P2,ramp1,19
VL,30,165.2838372564935,15.143395898491166,0.0916205489287563,6.050198353322129,P2,ramp1,20
